id	Stato	Regione	Provincia	Comune	value
I566	Italia	Lombardia	Milano	Sedriano	6811
I567	Italia	Lombardia	Bergamo	Sedrina	998
I577	Italia	Lombardia	Milano	Segrate	19094
I588	Italia	Lombardia	Brescia	Sellero	721
I597	Italia	Lombardia	Bergamo	Selvino	731
I602	Italia	Lombardia	Milano	Senago	11104
I607	Italia	Lombardia	Brescia	Seniga	874
I611	Italia	Lombardia	Como	Senna Comasco	1214
I612	Italia	Lombardia	Lodi	Senna Lodigiana	877
I625	Italia	Lombardia	Monza e della Brianza	Seregno	21562
I627	Italia	Lombardia	Cremona	Sergnano	2304
I628	Italia	Lombardia	Bergamo	Seriate	13875
I629	Italia	Lombardia	Bergamo	Serina	728
I631	Italia	Lombardia	Brescia	Serle	1233
I632	Italia	Lombardia	Mantova	Sermide	4851
I633	Italia	Lombardia	Brescia	Sirmione	9196
I662	Italia	Lombardia	Mantova	Serravalle a Po	875
I683	Italia	Lombardia	Cremona	Sesto ed Uniti	1425
I688	Italia	Lombardia	Varese	Sesto Calende	5595
I690	Italia	Lombardia	Milano	Sesto San Giovanni	64759
I696	Italia	Lombardia	Milano	Settala	4899
I700	Italia	Lombardia	Milano	Settimo Milanese	9259
I709	Italia	Lombardia	Monza e della Brianza	Seveso	11899
I759	Italia	Lombardia	Lecco	Sirone	972
I761	Italia	Lombardia	Lecco	Sirtori	1152
I782	Italia	Lombardia	Brescia	Soiano del Lago	994
I786	Italia	Lombardia	Milano	Solaro	8571
I792	Italia	Lombardia	Como	Solbiate	729
I793	Italia	Lombardia	Varese	Solbiate Arno	2147
I794	Italia	Lombardia	Varese	Solbiate Olona	2759
I801	Italia	Lombardia	Mantova	Solferino	1427
I812	Italia	Lombardia	Bergamo	Solto Collina	823
I813	Italia	Lombardia	Bergamo	Solza	974
I815	Italia	Lombardia	Lodi	Somaglia	1852
I819	Italia	Lombardia	Varese	Somma Lombardo	9976
I827	Italia	Lombardia	Cremona	Soncino	4250
I828	Italia	Lombardia	Sondrio	Sondalo	3190
I829	Italia	Lombardia	Sondrio	Sondrio	12431
I831	Italia	Lombardia	Brescia	Sonico	511
I848	Italia	Lombardia	Lodi	Sordio	2253
I849	Italia	Lombardia	Cremona	Soresina	5173
I856	Italia	Lombardia	Como	Sorico	683
I858	Italia	Lombardia	Bergamo	Sorisole	3440
I865	Italia	Lombardia	Cremona	Sospiro	1310
I869	Italia	Lombardia	Bergamo	Sotto il Monte Giovanni XXIII	1624
I873	Italia	Lombardia	Bergamo	Sovere	2721
I878	Italia	Lombardia	Monza e della Brianza	Sovico	3176
I906	Italia	Lombardia	Cremona	Spinadesco	845
I914	Italia	Lombardia	Cremona	Spino d'Adda	4352
I916	Italia	Lombardia	Bergamo	Spinone al Lago	509
I919	Italia	Lombardia	Bergamo	Spirano	3019
I935	Italia	Lombardia	Cremona	Stagno Lombardo	700
I951	Italia	Lombardia	Bergamo	Stezzano	5917
I968	Italia	Lombardia	Pavia	Stradella	7060
I996	Italia	Lombardia	Lecco	Suello	684
I997	Italia	Lombardia	Bergamo	Suisio	2073
I998	Italia	Lombardia	Monza e della Brianza	Sulbiate	2191
L002	Italia	Lombardia	Brescia	Sulzano	874
L003	Italia	Lombardia	Varese	Sumirago	2617
L015	Italia	Lombardia	Mantova	Sustinente	1217
L020	Italia	Lombardia	Mantova	Suzzara	11043
L032	Italia	Lombardia	Varese	Taino	1447
L035	Italia	Lombardia	Sondrio	Talamona	2429
L071	Italia	Lombardia	Como	Tavernerio	2660
L073	Italia	Lombardia	Bergamo	Tavernola Bergamasca	769
L084	Italia	Lombardia	Sondrio	Teglio	2416
L087	Italia	Lombardia	Bergamo	Telgate	3150
L094	Italia	Lombardia	Brescia	Temu'	972
L115	Italia	Lombardia	Varese	Ternate	1073
L118	Italia	Lombardia	Bergamo	Terno d'Isola	4510
L169	Italia	Lombardia	Brescia	Tignale	951
L175	Italia	Lombardia	Sondrio	Tirano	5364
L210	Italia	Lombardia	Brescia	Torbole Casaglia	3790
L237	Italia	Lombardia	Pavia	Torrazza Coste	849
L251	Italia	Lombardia	Bergamo	Torre Boldone	4038
L257	Italia	Lombardia	Lecco	Torre de' Busi	667
L258	Italia	Lombardia	Cremona	Torre de' Picenardi	863
L265	Italia	Lombardia	Bergamo	Torre de' Roveri	829
L269	Italia	Lombardia	Pavia	Torre d'Isola	832
L276	Italia	Lombardia	Bergamo	Torre Pallavicina	719
L285	Italia	Lombardia	Pavia	Torrevecchia Pia	1605
L312	Italia	Lombardia	Brescia	Toscolano-Maderno	4959
L319	Italia	Lombardia	Varese	Tradate	9374
L330	Italia	Lombardia	Sondrio	Traona	1348
L339	Italia	Lombardia	Brescia	Travagliato	7085
L342	Italia	Lombardia	Varese	Travedona-Monate	1692
L371	Italia	Lombardia	Como	Tremezzo	1541
L372	Italia	Lombardia	Brescia	Tremosine	2315
L380	Italia	Lombardia	Brescia	Trenzano	3655
L388	Italia	Lombardia	Bergamo	Trescore Balneario	5975
L389	Italia	Lombardia	Cremona	Trescore Cremasco	1915
L392	Italia	Lombardia	Sondrio	Tresivio	856
L400	Italia	Lombardia	Bergamo	Treviglio	17048
L404	Italia	Lombardia	Bergamo	Treviolo	4056
L408	Italia	Lombardia	Milano	Trezzano Rosa	3010
L409	Italia	Lombardia	Milano	Trezzano sul Naviglio	12757
L411	Italia	Lombardia	Milano	Trezzo sull'Adda	7378
L415	Italia	Lombardia	Milano	Tribiano	1690
L426	Italia	Lombardia	Cremona	Trigolo	810
L434	Italia	Lombardia	Monza e della Brianza	Triuggio	3093
L440	Italia	Lombardia	Pavia	Trivolzio	1182
L449	Italia	Lombardia	Pavia	Tromello	2016
L453	Italia	Lombardia	Pavia	Trovo	534
L454	Italia	Lombardia	Milano	Truccazzano	3243
L469	Italia	Lombardia	Lodi	Turano Lodigiano	773
L470	Italia	Lombardia	Como	Turate	5411
L471	Italia	Lombardia	Milano	Turbigo	3432
L480	Italia	Lombardia	Varese	Uboldo	5569
L487	Italia	Lombardia	Como	Uggiate-Trevano	1264
L494	Italia	Lombardia	Brescia	Urago d'Oglio	3288
L502	Italia	Lombardia	Bergamo	Urgnano	4362
L511	Italia	Lombardia	Monza e della Brianza	Usmate Velate	4877
